date,weekday,total,robust_z,note
2013-11-01,Friday,237230.0,1.68,All Saints' Day (national holiday)
2013-11-02,Saturday,298662.0,0.7,
2013-11-03,Sunday,215096.0,-0.67,
2013-11-04,Monday,174312.0,-0.66,
2013-11-05,Tuesday,199269.0,0.52,
2013-11-06,Wednesday,194365.0,0.0,
2013-11-07,Thursday,195833.0,0.23,
2013-11-08,Friday,204075.0,-0.02,
2013-11-09,Saturday,249978.0,-0.02,
2013-11-10,Sunday,239467.0,0.0,
2013-11-11,Monday,183784.0,0.0,
2013-11-12,Tuesday,194695.0,0.26,
2013-11-13,Wednesday,203647.0,0.48,
2013-11-14,Thursday,200414.0,0.76,
2013-11-15,Friday,184420.0,-1.03,
2013-11-16,Saturday,248876.0,-0.03,
2013-11-17,Sunday,216438.0,-0.64,
2013-11-18,Monday,174834.0,-0.62,
2013-11-19,Tuesday,177684.0,-0.67,
2013-11-20,Wednesday,183990.0,-0.54,
2013-11-21,Thursday,188794.0,-0.59,
2013-11-22,Friday,204548.0,0.0,
2013-11-23,Saturday,249386.0,-0.02,
2013-11-24,Sunday,239297.0,0.0,
2013-11-25,Monday,193520.0,0.67,
2013-11-26,Tuesday,189913.0,0.0,
2013-11-27,Wednesday,192248.0,-0.11,
2013-11-28,Thursday,191916.0,-0.23,
2013-11-29,Friday,205786.0,0.06,
2013-11-30,Saturday,296711.0,0.67,
2013-12-01,Sunday,318288.0,2.2,
2013-12-02,Monday,189101.0,0.37,
2013-12-03,Tuesday,188838.0,-0.06,
2013-12-04,Wednesday,209353.0,0.78,
2013-12-05,Thursday,198551.0,0.54,
2013-12-06,Friday,217687.0,0.67,
2013-12-07,Saturday,331244.0,1.18,"Sant'Ambrogio (Milan patron saint, local holiday)"
2013-12-08,Sunday,288225.0,1.36,Immaculate Conception (national holiday)
2013-12-09,Monday,215856.0,2.22,
2013-12-10,Tuesday,210945.0,1.16,
2013-12-11,Wednesday,230782.0,1.89,
2013-12-12,Thursday,234103.0,4.67,
2013-12-13,Friday,224906.0,1.05,
2013-12-14,Saturday,304855.0,0.79,
2013-12-15,Sunday,289100.0,1.39,
2013-12-16,Monday,172964.0,-0.75,
2013-12-17,Tuesday,215011.0,1.38,
2013-12-18,Wednesday,207366.0,0.67,
2013-12-19,Thursday,178837.0,-1.75,
2013-12-20,Friday,192592.0,-0.61,
2013-12-21,Saturday,251076.0,0.0,
2013-12-22,Sunday,238864.0,-0.01,
2013-12-23,Monday,236316.0,3.64,
2013-12-24,Tuesday,133594.0,-3.11,Christmas Eve
2013-12-25,Wednesday,26314.0,-8.72,Christmas Day
2013-12-26,Thursday,76244.0,-13.66,St Stephen's Day (national holiday)
2013-12-27,Friday,181949.0,-1.16,
2013-12-28,Saturday,166113.0,-1.26,
2013-12-29,Sunday,164510.0,-2.08,
2013-12-30,Monday,150483.0,-2.31,
2013-12-31,Tuesday,109420.0,-4.44,New Year's Eve
2014-01-01,Wednesday,57387.0,-7.11,New Year's Day
