model,window_end,weekday,hour,mean_abs_error,mean_actual
LSTM,2013-12-17 15:10:00+01:00,Tuesday,15,431.3681135199809,3067.4866943359375
LSTM,2013-12-17 15:00:00+01:00,Tuesday,15,387.30511921537726,3197.0579833984375
LSTM,2013-12-18 15:20:00+01:00,Wednesday,15,379.4200786803612,3282.9380696614585
LSTM,2013-12-18 15:00:00+01:00,Wednesday,15,366.77503378585783,3474.8450927734375
LSTM,2013-12-16 15:00:00+01:00,Monday,15,360.6126009159951,2565.017862955729
SARIMA,2013-12-21 15:50:00+01:00,Saturday,15,490.3351839540647,4721.70068359375
SARIMA,2013-12-21 15:30:00+01:00,Saturday,15,480.21137302495237,4521.736083984375
SARIMA,2013-12-16 15:00:00+01:00,Monday,15,456.5262493200146,2565.017862955729
SARIMA,2013-12-16 15:20:00+01:00,Monday,15,442.1285942922436,2429.8878173828125
SARIMA,2013-12-21 16:00:00+01:00,Saturday,16,441.8100398414255,4821.530192057292
SeasonalNaive,2013-12-16 16:30:00+01:00,Monday,16,2557.962361653646,2637.909383138021
SeasonalNaive,2013-12-16 15:50:00+01:00,Monday,15,2553.1844482421875,2453.6378173828125
SeasonalNaive,2013-12-16 16:20:00+01:00,Monday,16,2546.467976888021,2609.618123372396
SeasonalNaive,2013-12-16 16:10:00+01:00,Monday,16,2533.816162109375,2562.6031087239585
SeasonalNaive,2013-12-16 15:40:00+01:00,Monday,15,2522.083984375,2437.3138020833335
TCN,2013-12-18 14:00:00+01:00,Wednesday,14,341.57132053158057,3660.5812174479165
TCN,2013-12-22 19:50:00+01:00,Sunday,19,331.4662695067423,2060.9526570638022
TCN,2013-12-18 14:10:00+01:00,Wednesday,14,320.06021372338796,3733.4244384765625
TCN,2013-12-17 16:20:00+01:00,Tuesday,16,316.35092577250356,3645.63720703125
TCN,2013-12-22 19:20:00+01:00,Sunday,19,314.17483295779715,2857.7275390625
LSTM,2013-12-17 16:40:00+01:00,Tuesday,16,245.54026302189936,3016.484130859375
LSTM,2013-12-21 00:20:00+01:00,Saturday,0,242.4560764766661,790.0961303710938
LSTM,2013-12-21 00:30:00+01:00,Saturday,0,224.7412092335948,743.3339335123698
LSTM,2013-12-17 16:20:00+01:00,Tuesday,16,221.24028668468222,2919.7364095052085
