square_id,model,date,weekday,MAE
5161,Naive-daily,2013-12-16,Monday,854.88
5161,Naive-daily,2013-12-17,Tuesday,316.08
5161,Naive-daily,2013-12-18,Wednesday,202.63
5161,Naive-daily,2013-12-19,Thursday,201.28
5161,Naive-daily,2013-12-20,Friday,132.24
5161,Naive-daily,2013-12-21,Saturday,502.95
5161,Naive-daily,2013-12-22,Sunday,160.1
5161,Naive-weekly,2013-12-16,Monday,327.26
5161,Naive-weekly,2013-12-17,Tuesday,185.03
5161,Naive-weekly,2013-12-18,Wednesday,223.43
5161,Naive-weekly,2013-12-19,Thursday,384.59
5161,Naive-weekly,2013-12-20,Friday,239.06
5161,Naive-weekly,2013-12-21,Saturday,380.54
5161,Naive-weekly,2013-12-22,Sunday,365.35
5059,Naive-daily,2013-12-16,Monday,239.94
5059,Naive-daily,2013-12-17,Tuesday,119.39
5059,Naive-daily,2013-12-18,Wednesday,147.9
5059,Naive-daily,2013-12-19,Thursday,173.88
5059,Naive-daily,2013-12-20,Friday,99.49
5059,Naive-daily,2013-12-21,Saturday,216.32
5059,Naive-daily,2013-12-22,Sunday,205.22
5059,Naive-weekly,2013-12-16,Monday,121.88
5059,Naive-weekly,2013-12-17,Tuesday,174.76
5059,Naive-weekly,2013-12-18,Wednesday,159.57
5059,Naive-weekly,2013-12-19,Thursday,441.65
5059,Naive-weekly,2013-12-20,Friday,270.54
5059,Naive-weekly,2013-12-21,Saturday,326.37
5059,Naive-weekly,2013-12-22,Sunday,324.89
5259,Naive-daily,2013-12-16,Monday,1381.7
5259,Naive-daily,2013-12-17,Tuesday,211.08
5259,Naive-daily,2013-12-18,Wednesday,161.06
5259,Naive-daily,2013-12-19,Thursday,150.92
5259,Naive-daily,2013-12-20,Friday,130.62
5259,Naive-daily,2013-12-21,Saturday,1088.71
5259,Naive-daily,2013-12-22,Sunday,168.15
5259,Naive-weekly,2013-12-16,Monday,116.72
5259,Naive-weekly,2013-12-17,Tuesday,167.56
5259,Naive-weekly,2013-12-18,Wednesday,177.75
5259,Naive-weekly,2013-12-19,Thursday,299.86
5259,Naive-weekly,2013-12-20,Friday,190.67
5259,Naive-weekly,2013-12-21,Saturday,332.4
5259,Naive-weekly,2013-12-22,Sunday,186.74
