p,d,q,aic,bic,fit_seconds
3,0,3,-2119.2502995335917,-2071.9766995865853,0.54
2,0,3,-2058.165990612757,-2017.6457620867516,0.29
2,0,2,-2053.8735652077785,-2020.1059185251963,0.8
1,0,2,-2052.353219695778,-2025.3391023497124,0.11
3,0,2,-2051.912478736979,-2011.3913027178805,0.65
1,0,3,-2051.8436930129396,-2018.0768359079352,0.17
3,0,1,-2050.165618185319,-2016.397971502737,0.33
2,0,1,-2046.789890565541,-2019.7751416571468,0.14
1,0,1,-2015.9532530765787,-1995.6921913952829,0.08
3,0,0,-1926.5949416306196,-1899.580824284554,0.13
2,0,0,-1623.4788777340111,-1603.2178160527153,0.09
1,0,0,-1064.4853320462275,-1050.977641860717,0.07
0,0,3,-590.2531695557955,-563.2396838717918,0.18
0,0,2,166.72224006890406,186.98282807845334,0.1
0,0,1,980.0747198522528,993.5820943064499,0.08
