square_id,model,training_s,inference_total_s_median,inference_total_s_min,inference_total_s_max,inference_ms_per_step,repeats,n_params,device,n_parameters,epochs_run
5161,SeasonalNaive,0.0,5.841703386977315e-05,5.783297820016742e-05,6.133399438112974e-05,5.7953406616838445e-05,5,,,,
5161,SARIMA,0.162760499981232,0.0055216249893419445,0.005460207990836352,0.005631125008221716,0.005477802568791612,5,4.0,,,
5161,LSTM,15.366577874985524,0.02310066594509408,0.02207520796218887,0.053422083030454814,0.02291732732648222,5,,mps,50497.0,28.0
5161,TCN,8.811249332968146,0.010149666981305927,0.010028916003648192,0.011202750029042363,0.01006911406875588,5,,mps,28161.0,27.0
5059,SeasonalNaive,0.0,5.7750032283365726e-05,5.41660119779408e-05,5.8958015870302916e-05,5.7291698693815204e-05,5,,,,
5059,SARIMA,0.1352550410083495,0.005655209010001272,0.005526124965399504,0.005773332959506661,0.005610326398810785,5,4.0,,,
5059,LSTM,17.781014917010907,0.024657291010953486,0.023812666011508554,0.05098145897500217,0.02446159822515227,5,,mps,50497.0,39.0
5059,TCN,6.205461958947126,0.010317915992345661,0.009962249954696745,0.011251209012698382,0.010236027770184187,5,,mps,28161.0,22.0
5259,SeasonalNaive,0.0,5.76250022277236e-05,5.729199619963765e-05,5.83329820074141e-05,5.716766094020198e-05,5,,,,
5259,SARIMA,0.18515137501526624,0.005684666975867003,0.005613000015728176,0.005808665999211371,0.00563955057129663,5,4.0,,,
5259,LSTM,16.078827416000422,0.02413637499557808,0.022096082975622267,0.024317624978721142,0.023944816463867143,5,,mps,50497.0,35.0
5259,TCN,15.228680250002071,0.010315375053323805,0.009608959022443742,0.010403499996755272,0.010233506997345045,5,,mps,28161.0,54.0
